"idpessoa","descNome","numCNPJ"
575717,Zeca Loteiro 575717,22662313000111
1522687,Zeca Loteiro 1522687,12612160000136
2791806,Zeca Loteiro 2791806,12515613000131
108746,Zeca Loteiro 108746,
793495,Zeca Loteiro 793495,56123633000010
1840589,Zeca Loteiro 1840589,
22537,Zeca Loteiro 22537,1661166000060
3185552,Zeca Loteiro 3185552,6003036000160
269858,Zeca Loteiro 269858,22163025000120
4518738,Zeca Loteiro 4518738,11262656000103
2313979,Zeca Loteiro 2313979,26636550000120
2021293,Zeca Loteiro 2021293,61611110000163
718213,Zeca Loteiro 718213,1610660000061
589883,Zeca Loteiro 589883,21361663000100
1730432,Zeca Loteiro 1730432,10011601000113
111524,Zeca Loteiro 111524,
2284085,Zeca Loteiro 2284085,12515613000131
1054083,Zeca Loteiro 1054083,11653515000115
1641263,Zeca Loteiro 1641263,
715,Zeca Loteiro 715,1030111000005
1997888,Zeca Loteiro 1997888,2033003000106
3289768,Zeca Loteiro 3289768,10153001000130
1972821,Zeca Loteiro 1972821,2016265000150
85437,Zeca Loteiro 85437,66606023051151
662616,Zeca Loteiro 662616,
3185430,Zeca Loteiro 3185430,22601025000106
1551667,Zeca Loteiro 1551667,
1528631,Zeca Loteiro 1528631,2160130000150
1125291,Zeca Loteiro 1125291,6262231000110
4099692,Zeca Loteiro 4099692,336263000130
1241082,Zeca Loteiro 1241082,3102000150
1532787,Zeca Loteiro 1532787,22005066000563
82006,Zeca Loteiro 82006,22311332000111
592,Zeca Loteiro 592,22565661000126
408642,Zeca Loteiro 408642,
1369636,Zeca Loteiro 1369636,6513233000165
1244567,Zeca Loteiro 1244567,261511062015
1341949,Zeca Loteiro 1341949,
3233742,Zeca Loteiro 3233742,6325211000100
422887,Zeca Loteiro 422887,
111496,Zeca Loteiro 111496,16605131000162
562844,Zeca Loteiro 562844,22060531000101
35663,Zeca Loteiro 35663,
3224827,Zeca Loteiro 3224827,22311335000110
592,Zeca Loteiro 592,22565661000126
1735129,Zeca Loteiro 1735129,116023000165
1282097,Zeca Loteiro 1282097,13053210000111
48865,Zeca Loteiro 48865,
85437,Zeca Loteiro 85437,66606023051151
1622293,Zeca Loteiro 1622293,21015633000112
2811170,Zeca Loteiro 2811170,6262310000100
793495,Zeca Loteiro 793495,56123633000010
2724289,Zeca Loteiro 2724289,33063633000161
44345,Zeca Loteiro 44345,
817535,Zeca Loteiro 817535,56131660000052
422166,Zeca Loteiro 422166,22501013000151
4066813,Zeca Loteiro 4066813,16256155000113
1221609,Zeca Loteiro 1221609,21613605000163
4102887,Zeca Loteiro 4102887,16636601000166
1627899,Zeca Loteiro 1627899,12316351000113
750875,Zeca Loteiro 750875,60316531000112
4720,Zeca Loteiro 4720,21050322000163
37604,Zeca Loteiro 37604,
44975,Zeca Loteiro 44975,230205000101
1232989,Zeca Loteiro 1232989,20163136000122
1724820,Zeca Loteiro 1724820,10601103000130
1201070,Zeca Loteiro 1201070,
422981,Zeca Loteiro 422981,
1347624,Zeca Loteiro 1347624,256661015316
1608007,Zeca Loteiro 1608007,33355262000150
1317620,Zeca Loteiro 1317620,
1339342,Zeca Loteiro 1339342,
637886,Zeca Loteiro 637886,56063666000050
552456,Zeca Loteiro 552456,
674746,Zeca Loteiro 674746,10130161000130
299,Zeca Loteiro 299,
845797,Zeca Loteiro 845797,1016010000102
215050,Zeca Loteiro 215050,16553563000160
3162465,Zeca Loteiro 3162465,2213210000105
793994,Zeca Loteiro 793994,
1993431,Zeca Loteiro 1993431,6631010000162
12860,Zeca Loteiro 12860,16610000000111
307,Zeca Loteiro 307,
3314265,Zeca Loteiro 3314265,21355033000156
1756334,Zeca Loteiro 1756334,6606632000160
1051279,Zeca Loteiro 1051279,16601560000106
751292,Zeca Loteiro 751292,6536666000105
2325411,Zeca Loteiro 2325411,2523322000100
1054493,Zeca Loteiro 1054493,11506116000166
91884,Zeca Loteiro 91884,66606023000110
298276,Zeca Loteiro 298276,20335253000156
17352,Zeca Loteiro 17352,16136331000115
940323,Zeca Loteiro 940323,3333331000131
1767199,Zeca Loteiro 1767199,
1060011,Zeca Loteiro 1060011,3630006000103
639657,Zeca Loteiro 639657,1030020000005
793495,Zeca Loteiro 793495,56123633000010
17352,Zeca Loteiro 17352,16136331000115
1819787,Zeca Loteiro 1819787,
2484109,Zeca Loteiro 2484109,2160130000150
150179,Zeca Loteiro 150179,22050121000112
1136367,Zeca Loteiro 1136367,22216062000122
19010,Zeca Loteiro 19010,16163321000133
447880,Zeca Loteiro 447880,25310106000156
1229985,Zeca Loteiro 1229985,
72249,Zeca Loteiro 72249,
864668,Zeca Loteiro 864668,633526000105
16463,Zeca Loteiro 16463,
1616842,Zeca Loteiro 1616842,16665001000103
793495,Zeca Loteiro 793495,56123633000010
1698302,Zeca Loteiro 1698302,
793495,Zeca Loteiro 793495,56123633000010
1717721,Zeca Loteiro 1717721,11305100000103
492694,Zeca Loteiro 492694,20001251000151
777695,Zeca Loteiro 777695,22321360000101
27204,Zeca Loteiro 27204,
71,Zeca Loteiro 71,
3635,Zeca Loteiro 3635,300655000010
793495,Zeca Loteiro 793495,56123633000010
640284,Zeca Loteiro 640284,616363000133
1939306,Zeca Loteiro 1939306,3512300000160
209,Zeca Loteiro 209,22362603000605
1235275,Zeca Loteiro 1235275,66106620000631
1974531,Zeca Loteiro 1974531,6152122000106
1636197,Zeca Loteiro 1636197,10216030000110
1717708,Zeca Loteiro 1717708,5630303001500
843168,Zeca Loteiro 843168,26161113000100
2003731,Zeca Loteiro 2003731,16121036000111
1528631,Zeca Loteiro 1528631,2160130000150
2199578,Zeca Loteiro 2199578,2160130000150
2492737,Zeca Loteiro 2492737,2160130000150
1707539,Zeca Loteiro 1707539,5611651000125
3279540,Zeca Loteiro 3279540,16365313000166
3235765,Zeca Loteiro 3235765,2051135000120
1096213,Zeca Loteiro 1096213,20300262000105
