idPessoa,descNome,numCPF
3275320,Zeca Loteiro 3275320,66300601006.0
48334,Zeca Loteiro 48334,
1517926,Zeca Loteiro 1517926,3523336001.0
518276,Zeca Loteiro 518276,16112236052.0
2137156,Zeca Loteiro 2137156,3522321003.0
2084390,Zeca Loteiro 2084390,
2069463,Zeca Loteiro 2069463,
183715,Zeca Loteiro 183715,
257170,Zeca Loteiro 257170,
22874,Zeca Loteiro 22874,10566165016.0
237946,Zeca Loteiro 237946,6631113060.0
3546369,Zeca Loteiro 3546369,3630331033.0
3242631,Zeca Loteiro 3242631,10623166052.0
3415598,Zeca Loteiro 3415598,556022001.0
2465755,Zeca Loteiro 2465755,6636523015.0
629791,Zeca Loteiro 629791,
3282128,Zeca Loteiro 3282128,31303533001.0
2417991,Zeca Loteiro 2417991,10330602061.0
1316953,Zeca Loteiro 1316953,
1212955,Zeca Loteiro 1212955,365650033.0
4215,Zeca Loteiro 4215,
48248,Zeca Loteiro 48248,
146467,Zeca Loteiro 146467,
138334,Zeca Loteiro 138334,
410502,Zeca Loteiro 410502,
1312003,Zeca Loteiro 1312003,
1641893,Zeca Loteiro 1641893,
1225429,Zeca Loteiro 1225429,
3585217,Zeca Loteiro 3585217,1600266015.0
4507007,Zeca Loteiro 4507007,323003031.0
1228739,Zeca Loteiro 1228739,
1297725,Zeca Loteiro 1297725,
3430407,Zeca Loteiro 3430407,1105065006.0
408276,Zeca Loteiro 408276,6062126000.0
1773115,Zeca Loteiro 1773115,
224452,Zeca Loteiro 224452,1120060060.0
108390,Zeca Loteiro 108390,63133620036.0
1473281,Zeca Loteiro 1473281,2316160032.0
11513,Zeca Loteiro 11513,
2043579,Zeca Loteiro 2043579,
2395446,Zeca Loteiro 2395446,63321312061.0
1170687,Zeca Loteiro 1170687,
2463431,Zeca Loteiro 2463431,6133050011.0
2298033,Zeca Loteiro 2298033,5515003026.0
472031,Zeca Loteiro 472031,30103660006.0
4086610,Zeca Loteiro 4086610,30306126000.0
8815,Zeca Loteiro 8815,
1830981,Zeca Loteiro 1830981,
2360147,Zeca Loteiro 2360147,12003112033.0
142713,Zeca Loteiro 142713,
1689666,Zeca Loteiro 1689666,26651263060.0
1767564,Zeca Loteiro 1767564,33315015.0
38838,Zeca Loteiro 38838,3316262021.0
1010223,Zeca Loteiro 1010223,1336506052.0
3809754,Zeca Loteiro 3809754,1362033060.0
1163624,Zeca Loteiro 1163624,20102015033.0
2344457,Zeca Loteiro 2344457,53336550015.0
1190809,Zeca Loteiro 1190809,31663316061.0
152,Zeca Loteiro 152,
258558,Zeca Loteiro 258558,
10646,Zeca Loteiro 10646,11612135033.0
3300494,Zeca Loteiro 3300494,6100065020.0
160204,Zeca Loteiro 160204,
3809121,Zeca Loteiro 3809121,61055305060.0
655303,Zeca Loteiro 655303,
1206358,Zeca Loteiro 1206358,20103036061.0
143595,Zeca Loteiro 143595,
1315284,Zeca Loteiro 1315284,63312213015.0
4049894,Zeca Loteiro 4049894,20036351001.0
183761,Zeca Loteiro 183761,23116131315.0
1034375,Zeca Loteiro 1034375,3161260503.0
2430130,Zeca Loteiro 2430130,1305315055.0
628003,Zeca Loteiro 628003,
712710,Zeca Loteiro 712710,6100530000.0
